TeamExp_Avg,TeamExp_Var,Complexity,ResourceAvail,StakeholderEng,Dependencies,SchedulePressure,RiskPercent
1.03,0.83,3,3,2,3,2.07,21.93
2.26,0.88,3,3,1,3,1.34,57.05
2.89,0.37,3,2,1,2,0.89,82.17
1.45,0.02,1,2,1,3,0.78,85.47
1.1,0.11,3,3,2,3,2.44,64.99
2.63,0.77,1,2,3,2,1.33,38.19
1.54,0.37,2,1,3,2,2.42,86.72
2.99,0.17,3,1,3,3,1.52,8.21
1.63,0.2,3,3,2,1,1.6,72.49
2.6,0.68,3,1,2,3,0.74,60.67
2.47,0.67,1,2,2,1,0.61,75.63
2.5,0.07,2,3,2,2,0.53,66.07
1.15,0.26,1,3,2,2,1.84,59.45
2.98,0.43,2,2,1,2,2.2,10.53
1.02,0.01,3,1,2,3,2.41,19.47
2.59,0.02,1,2,3,3,1.99,70.21
2.33,0.74,2,2,2,3,1.9,44.59
2.32,0.28,2,3,1,3,1.83,67.16
1.71,0.73,1,2,1,3,1.96,67.41
2.4,0.05,3,1,1,1,2.31,36.42
1.35,0.08,3,2,3,1,1.16,17.28
1.12,0.92,3,3,2,3,2.18,36.6
2.2,0.23,3,2,3,1,2.11,41.17
1.84,0.93,2,3,2,1,1.4,56.61
1.77,0.67,3,2,3,1,1.76,10.97
2.25,0.11,2,1,3,1,0.6,12.21
2.16,0.9,1,1,2,3,0.73,45.73
2.98,0.87,3,1,2,2,1.93,12.23
2.72,0.61,2,3,2,2,1.76,39.21
1.17,0.13,2,2,2,3,2.37,21.13
1.17,0.69,3,1,3,2,1.33,57.78
2.6,0.12,2,1,3,2,1.15,11.64
1.11,0.57,3,2,1,2,0.59,71.07
2.95,0.59,1,1,1,3,1.75,27.29
1.67,0.41,1,2,2,1,2.44,6.91
1.89,0.49,3,2,3,1,2.42,45.56
1.43,0.84,3,1,3,1,0.66,79.51
2.87,0.5,1,1,3,2,2.48,44.84
2.94,0.36,1,1,3,1,1.24,39.34
2.8,0.13,2,1,2,3,1.15,31.63
1.94,0.69,1,1,1,3,2.06,36.62
1.78,0.5,2,3,2,3,1.51,6.57
2.25,0.99,3,2,1,2,1.1,27.2
1.25,0.32,3,1,3,1,2.28,65.71
1.77,0.26,2,2,2,3,1.58,50.87
2.5,0.73,3,3,2,1,1.95,21.8
2.12,0.21,1,2,2,1,0.52,27.98
2.8,0.56,3,2,1,2,2.03,94.79
2.18,0.65,2,2,1,2,2.36,89.54
2.04,0.28,3,2,2,1,0.84,10.4
2.77,0.23,3,3,1,2,2.16,27.66
2.0,0.37,3,2,2,1,1.22,12.18
2.19,0.92,2,2,2,2,1.33,64.23
2.38,0.21,3,3,1,2,1.04,33.73
2.69,0.67,1,1,3,1,1.74,50.73
2.47,0.97,3,2,2,3,0.6,90.73
2.3,0.09,3,2,1,3,1.22,22.01
2.98,0.49,1,3,2,1,0.57,63.54
1.12,0.55,2,1,3,2,1.27,6.15
2.73,0.85,1,2,1,1,2.25,54.14
1.45,0.36,2,3,1,3,2.48,68.91
2.01,0.92,2,1,1,1,1.97,87.2
1.78,0.84,2,3,3,1,1.75,41.02
2.81,0.24,3,3,1,1,1.3,25.37
1.79,0.73,1,3,3,2,2.29,29.62
2.34,0.24,1,1,1,2,1.34,67.59
1.52,0.34,3,1,1,3,1.61,25.23
1.21,0.78,1,2,2,3,0.58,90.1
1.81,0.07,3,3,3,2,0.94,66.83
1.95,0.15,1,3,3,2,0.8,14.06
2.03,0.93,3,1,3,3,2.0,22.91
2.45,0.95,1,3,3,1,2.28,29.3
2.41,0.97,2,2,1,3,0.77,10.48
1.88,0.23,3,2,1,2,2.29,71.73
1.46,0.98,3,3,3,1,2.01,41.23
1.43,0.96,2,2,2,2,1.16,80.8
2.95,0.45,1,2,1,1,2.04,6.57
2.35,0.11,2,1,2,1,2.2,59.7
2.28,0.36,1,2,2,3,2.35,79.1
2.29,0.02,3,1,2,2,2.11,76.01
2.15,0.03,2,3,2,2,0.94,39.03
1.91,0.53,3,3,3,2,1.57,80.63
2.27,0.67,2,3,1,2,1.09,79.46
2.68,0.7,1,2,3,1,1.01,44.21
1.89,0.87,3,1,2,3,0.62,16.72
1.52,0.23,1,2,1,3,2.12,31.93
2.4,0.82,2,2,3,3,1.66,23.1
1.01,0.42,3,3,1,2,0.91,54.45
1.29,0.92,2,2,3,2,2.18,93.5
2.83,0.5,1,1,1,1,1.01,87.43
2.18,0.92,1,3,3,1,0.67,91.13
2.41,0.75,2,1,1,1,2.24,47.71
1.33,0.72,1,1,2,3,1.71,23.47
1.62,0.35,2,1,2,3,2.21,60.89
1.9,0.51,3,1,2,2,1.24,11.42
2.76,0.47,3,2,1,2,1.29,73.48
2.65,0.51,2,1,2,3,2.06,50.9
2.87,0.62,3,1,2,2,0.97,84.79
2.73,0.71,1,1,3,2,0.67,63.93
2.2,0.73,2,2,1,3,0.53,40.75
